river,area_total_sqkm,area_mon_sqkm,pload1994,pload1995,pload1996,pload1997,pload1998,pload1999,pload2000,pload2001,pload2002,pload2003,pload2004,pload2005,pload2006,pload2007,pload2008,ploadAverage
Milwaukee,2259,1804,41,33,85,65,60,57,60,76,51,36,49,63,41,35,124,58
Sheboygan,1089,1089,35,20,28,88,22,104,40,28,36,17,105,30,49,43,136,52
Fox,16429,14963,603,494,884,631,515,418,406,583,619,534,1041,630,571,494,658,606
Menominee,10556,10556,96,115,237,246,174,205,98,109,208,112,80,88,94,69,86,134
Manistique,4936,4936,31,25,47,52,35,40,23,61,50,32,43,41,25,82,32,41
Manistee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,69,0
Pere Marquette,2060,1775,44,34,14,42,31,29,32,34,28,23,57,28,26,30,34,32
Muskegon,7092,7092,59,54,54,104,79,68,50,99,51,34,111,66,115,67,67,72
Grand,14395,14395,651,466,253,933,854,515,687,780,464,310,735,366,505,517,637,578
Kalamazoo,5260,5125,189,145,90,215,228,136,152,222,181,118,176,155,139,155,201,167
St Joseph,12155,12155,303,273,229,640,637,431,235,886,441,215,258,222,221,300,601,393
