
Collection Date,Collection Time,Site,Sample Depth,Depth,Total Phosphorus
1998-04-20,12:32:00,NS-13,M,5.5,0.068
1998-04-20,12:32:00,NS-13,S,1,0.043
1998-04-20,12:33:00,NS-13,B,10,0.029
1998-05-27,10:50:00,NS-13,S,1,0.027
1998-05-27,10:51:00,NS-13,M,5.5,0
1998-05-27,10:53:00,NS-13,B,10,0
1998-06-23,11:27:00,NS-13,S,0.9,0.031
1998-06-23,11:28:00,NS-13,M,5.5,0.037
1998-06-23,11:29:00,NS-13,B,10.4,0
1998-09-17,11:12:00,NS-13,S,1,0.036
1998-09-17,11:13:00,NS-13,M,5.5,0.025
1998-09-17,11:15:00,NS-13,B,10,0
1999-05-19,12:12:00,NS-13,S,1,0.101
1999-05-19,12:13:00,NS-13,M,5,0.0708
1999-05-19,12:15:00,NS-13,B,10,0.0236
1999-06-09,11:07:00,NS-13,S,1,0.0498
1999-06-09,11:12:00,NS-13,B,10.1,0.0102
1999-06-09,11:12:00,NS-13,M,5.5,0.0158
1999-07-12,11:29:00,NS-13,S,1,0.0268
1999-07-12,11:31:00,NS-13,M,4.9,0.0184
1999-07-12,11:32:00,NS-13,B,9.1,0.0167
2000-05-15,11:09:00,NS-13,S,1,0.058
2000-05-15,11:10:00,NS-13,M,5,0.056
2000-05-15,11:11:00,NS-13,B,9,0
2000-06-27,11:14:00,NS-13,S,1,0.022
2000-06-27,11:16:00,NS-13,B,9.1,0
2000-06-27,11:16:00,NS-13,M,4.6,0
2000-08-01,11:20:00,NS-13,S,1.1,0.082
2000-08-01,11:21:00,NS-13,M,5,0.1
2000-08-01,11:22:00,NS-13,B,9.1,0
2000-10-17,10:54:00,NS-13,S,1,0.047
2000-10-17,10:55:00,NS-13,M,5,0.064
2000-10-17,10:56:00,NS-13,B,9,0.022
2001-06-07,00:10:40,NS-13,S,1.1,0.04
2001-06-07,00:10:41,NS-13,B,8,0.03
2001-06-07,00:10:41,NS-13,M,4.5,0.03
2001-07-09,00:11:20,NS-13,S,1,0.01
2001-07-09,00:11:21,NS-13,B,9.1,0
2001-07-09,00:11:21,NS-13,M,5.1,0.02
2001-07-30,00:11:17,NS-13,S,1.1,0.03
2001-07-30,00:11:18,NS-13,B,9.1,0.02
2001-07-30,00:11:18,NS-13,M,4.9,0.02
2001-08-29,00:11:10,NS-13,S,1.1,0.08
2001-08-29,00:11:11,NS-13,M,4.5,0.03
2001-08-29,00:11:13,NS-13,B,8.1,0
2001-10-22,00:10:50,NS-13,S,1.1,0
2001-10-22,00:10:51,NS-13,M,5.1,0
2001-10-22,00:10:52,NS-13,B,9.1,0
2002-05-28,10:59:00,NS-13,S,1,0.025
2002-05-28,11:00:00,NS-13,,5.5,0.016
2002-05-28,11:00:00,NS-13,B,10,0.017
2002-06-24,07:42:00,NS-13,S,1,0.035
2002-06-24,07:44:00,NS-13,,5.2,0.11
2002-06-24,07:47:00,NS-13,B,10.2,0
2002-07-15,02:54:00,NS-13,S,1.1,0.039
2002-07-15,02:55:00,NS-13,,5.3,0.066
2002-07-15,02:56:00,NS-13,B,9.5,0.13
2002-07-31,11:01:00,NS-13,S,1,0.047
2002-07-31,11:02:00,NS-13,,5.4,0.03
2002-07-31,11:03:00,NS-13,B,9.3,0
2002-08-26,11:04:00,NS-13,S,1.1,0.022
2002-08-26,11:06:00,NS-13,,5.1,0
2002-08-26,11:07:00,NS-13,B,9.1,0
2002-09-09,11:15:00,NS-13,S,1,0.042
2002-09-09,11:17:00,NS-13,,5,0.036
2002-09-09,11:18:00,NS-13,B,9,0
2002-11-13,11:23:00,NS-13,S,0.9,0.024
2002-11-13,11:24:00,NS-13,,5,0.035
2002-11-13,11:25:00,NS-13,B,9,0.04
2003-05-06,11:10:34,NS-13,S,1,0.043
2003-05-06,11:11:34,NS-13,M,5.1,0.038
2003-05-06,11:12:43,NS-13,B,9.1,0.017
2003-06-02,11:23:35,NS-13,S,1,0.082
2003-06-02,11:24:29,NS-13,M,5,0.086
2003-06-02,11:25:28,NS-13,B,9,0.012
2003-06-23,11:11:04,NS-13,S,1,0.03
2003-06-23,11:12:07,NS-13,M,5.1,-999
2003-06-23,11:12:42,NS-13,B,9.5,-999
2003-07-14,10:57:38,NS-13,S,1.1,-999
2003-07-14,10:58:51,NS-13,M,5,-999
2003-07-14,10:59:38,NS-13,B,8.4,-999
2003-07-29,11:10:44,NS-13,S,1.1,0.031
2003-07-29,11:11:48,NS-13,M,5.5,0.019
2003-07-29,11:12:36,NS-13,B,8.5,-999
2003-08-14,11:21:12,NS-13,S,1.2,0.052
2003-08-14,11:22:14,NS-13,M,4.9,0.025
2003-08-14,11:23:25,NS-13,B,8.6,-999
2003-10-06,10:51:50,NS-13,S,1,0.026
2003-10-06,10:52:23,NS-13,M,5.2,0.024
2003-10-06,10:52:57,NS-13,B,9.5,-999
2004-05-26,10:48:55,NS-13,S,1.1,0.12
2004-05-26,10:49:45,NS-13,M,5.5,0.11
2004-05-26,10:53:02,NS-13,B,9.5,0.027
2004-06-15,10:47:43,NS-13,S,1.1,0.11
2004-06-15,10:48:49,NS-13,M,5,0.095
2004-06-15,10:49:42,NS-13,B,9.6,0.084
2004-06-30,10:40:56,NS-13,S,1,0.059
2004-06-30,10:42:06,NS-13,M,5.5,0.012
2004-06-30,10:42:59,NS-13,B,10.1,0
2004-07-12,11:47:37,NS-13,S,1.1,0.037
2004-07-12,11:48:02,NS-13,M,5.2,0.019
2004-07-12,11:48:29,NS-13,B,9.2,0.014
2004-08-31,10:25:40,NS-13,S,1,0
2004-08-31,10:26:13,NS-13,M,5,0.021
2004-08-31,10:26:44,NS-13,B,9,0.022
2004-09-13,10:41:17,NS-13,S,1,0.028
2004-09-13,10:42:37,NS-13,M,5.5,0.017
2004-09-13,10:43:35,NS-13,B,9.5,0
2004-09-27,10:42:41,NS-13,S,1,0.034
2004-09-27,10:43:13,NS-13,M,4.6,0.015
2004-09-27,10:43:51,NS-13,B,8.5,0
2004-11-17,10:25:08,NS-13,S,1.1,0.018
2004-11-17,10:25:31,NS-13,M,4.9,0.018
2004-11-17,10:25:54,NS-13,B,9,
2005-04-18,10:32:07,NS-13,S,1,0.04
2005-04-18,10:32:47,NS-13,M,4.6,0.019
2005-04-18,10:33:21,NS-13,B,8.2,0.018
2005-05-16,10:48:08,NS-13,S,1.1,0.039
2005-05-16,10:48:38,NS-13,M,5,0.041
2005-05-16,10:49:23,NS-13,B,9,0.024
2005-06-01,12:35:48,NS-13,S,1,0.025
2005-06-01,12:36:12,NS-13,M,4.5,0.014
2005-06-01,12:36:39,NS-13,B,8.1,0.019
2005-06-20,10:50:31,NS-13,S,0.9,0.074
2005-06-20,10:51:29,NS-13,M,5,0
2005-06-20,10:52:13,NS-13,B,9,0
2005-07-11,11:11:00,NS-13,S,1,0.057
2005-07-11,11:11:34,NS-13,M,5,0.042
2005-07-11,11:12:03,NS-13,B,9,0.021
2005-08-02,11:00:33,NS-13,S,1,0.049
2005-08-02,11:01:11,NS-13,M,4.6,0.021
2005-08-02,11:01:41,NS-13,B,8.2,0
2005-08-16,10:57:14,NS-13,S,1,0.023
2005-08-16,10:57:49,NS-13,M,5,0.023
2005-08-16,10:58:33,NS-13,B,9.1,0.021
2005-10-13,11:10:35,NS-13,S,1,0.014
2005-10-13,11:11:22,NS-13,M,5.1,0
2005-10-13,11:12:18,NS-13,B,9.2,0.011
2006-05-04,10:31:08,NS-13,S,1.03,0.012
2006-05-04,10:47:11,NS-13,M,5.02,0.013
2006-05-04,10:47:49,NS-13,B,9.04,0
2006-05-23,10:34:45,NS-13,S,1.04,0
