
Collection Date,Collection Time,Site,Sample Depth,Depth,Total Phosphorus
1979-04-18,,OH-06,B,11.3,0.07
1979-04-18,,OH-06,M,6.1,0.03
1979-04-18,,OH-06,S,1,0.04
1979-04-25,,OH-06,B,12.2,0.12
1979-04-25,,OH-06,M,6.1,0.13
1979-04-25,,OH-06,S,1,0.09
1979-05-01,,OH-06,B,12.2,0.03
1979-05-01,,OH-06,M,6.4,0.03
1979-05-01,,OH-06,S,1,0.05
1979-05-10,,OH-06,B,11.6,0.06
1979-05-10,,OH-06,M,6.1,0.04
1979-05-10,,OH-06,S,1,0.07
1979-05-15,,OH-06,B,12.5,0.03
1979-05-15,,OH-06,M,6.4,0.03
1979-05-15,,OH-06,S,1,0.03
1979-05-22,,OH-06,B,11.6,0.02
1979-05-22,,OH-06,M,6.1,0.04
1979-05-22,,OH-06,S,1,0.03
1979-05-29,,OH-06,B,12.2,0.03
1979-05-29,,OH-06,M,6.4,0.05
1979-05-29,,OH-06,S,1,0.04
1979-06-05,,OH-06,B,11.9,0.04
1979-06-05,,OH-06,M,6.1,0.03
1979-06-05,,OH-06,S,1,0.03
1979-06-12,,OH-06,B,12.2,0.03
1979-06-12,,OH-06,M,6.4,0.02
1979-06-12,,OH-06,S,1,0.02
1979-06-21,,OH-06,B,11.3,0.04
1979-06-21,,OH-06,M,6.1,0.03
1979-06-21,,OH-06,S,1,0.03
1979-06-26,,OH-06,B,11.3,0.03
1979-06-26,,OH-06,M,6.1,0.07
1979-06-26,,OH-06,S,1,0.04
1979-07-02,,OH-06,B,11.6,0.02
1979-07-02,,OH-06,M,6.1,0.03
1979-07-02,,OH-06,S,1,0.03
1979-07-10,,OH-06,B,11.6,0.03
1979-07-10,,OH-06,M,6.1,0.03
1979-07-10,,OH-06,S,1,0.04
1979-07-18,,OH-06,B,11,0.04
1979-07-18,,OH-06,M,5.5,0.04
1979-07-18,,OH-06,S,1,0.06
1979-08-02,,OH-06,B,11,0.07
1979-08-02,,OH-06,M,5.8,0.03
1979-08-02,,OH-06,S,1,0.03
1979-08-07,,OH-06,B,11.6,0.02
1979-08-07,,OH-06,M,6.1,0.08
1979-08-07,,OH-06,S,1,0.02
1979-08-14,,OH-06,B,11.6,0.03
1979-08-14,,OH-06,M,6.1,0.03
1979-08-14,,OH-06,S,1,0.04
1979-08-21,,OH-06,B,11,0.04
1979-08-21,,OH-06,M,5.8,0.04
1979-08-21,,OH-06,S,1,0.05
1979-08-28,,OH-06,B,11.6,0.03
1979-08-28,,OH-06,M,6.1,-9.999
1979-08-28,,OH-06,S,1,0.07
1979-09-12,,OH-06,B,11.6,0.03
1979-09-12,,OH-06,M,6.1,0.03
1979-09-12,,OH-06,S,1,0.03
1979-09-18,,OH-06,B,11.6,0.05
1979-09-18,,OH-06,M,6.1,0.07
1979-09-18,,OH-06,S,1,0.15
1979-10-05,,OH-06,B,11,0.02
1979-10-05,,OH-06,M,5.8,0.02
1979-10-05,,OH-06,S,1,0.02
1979-10-09,,OH-06,B,11,0.03
1979-10-09,,OH-06,M,5.8,0.03
1979-10-09,,OH-06,S,1,0.03
1979-11-20,,OH-06,B,11,0.05
1979-11-20,,OH-06,M,5.8,0.03
1979-11-20,,OH-06,S,1,0.08
1979-11-27,,OH-06,B,10.4,0.04
1979-11-27,,OH-06,M,5.5,0.04
1979-11-27,,OH-06,S,1,0.05
1979-12-04,,OH-06,B,10.4,-9.999
1979-12-04,,OH-06,M,5.5,-9.999
1979-12-04,,OH-06,S,1,-9.999
1979-12-11,,OH-06,B,10.4,-9.999
1979-12-11,,OH-06,M,5.5,-9.999
1979-12-11,,OH-06,S,1,-9.999
1979-12-18,,OH-06,B,10.4,-9.999
1979-12-18,,OH-06,M,5.5,-9.999
1979-12-18,,OH-06,S,1,-9.999
1980-01-22,,OH-06,B,9.8,0.08
1980-01-22,,OH-06,M,5.2,0.05
1980-01-22,,OH-06,S,1,0.58
1980-01-30,,OH-06,B,10.1,-9.999
1980-01-30,,OH-06,M,5.5,-9.999
1980-01-30,,OH-06,S,1,-9.999
1980-04-01,,OH-06,B,4.9,0.01
1980-04-01,,OH-06,M,3.7,0.01
1980-04-01,,OH-06,S,1,0.01
1980-04-10,,OH-06,B,11,0.07
1980-04-10,,OH-06,M,5.8,0.05
1980-04-10,,OH-06,S,1,0.05
1980-04-23,,OH-06,B,11,0.03
1980-04-23,,OH-06,M,5.5,0.02
1980-04-23,,OH-06,S,1,0.02
1980-04-30,,OH-06,B,10.4,0.02
1980-04-30,,OH-06,M,5.5,0.01
1980-04-30,,OH-06,S,1,0.01
1980-05-05,,OH-06,B,11,0.02
1980-05-05,,OH-06,M,5.8,0.02
1980-05-05,,OH-06,S,1,0.02
1980-05-12,,OH-06,B,11,0.015
1980-05-12,,OH-06,M,5.8,0.016
1980-05-12,,OH-06,S,1,0.016
1980-05-20,,OH-06,B,11,0.011
1980-05-20,,OH-06,M,5.8,0.012
1980-05-20,,OH-06,S,1,0.014
1980-05-27,,OH-06,B,11,0.014
1980-05-27,,OH-06,M,5.5,0.012
1980-05-27,,OH-06,S,1,0.017
1980-06-02,,OH-06,B,11,0.008
1980-06-02,,OH-06,M,5.8,0.01
1980-06-02,,OH-06,S,1,0.012
1980-06-10,,OH-06,B,10.4,0.022
1980-06-10,,OH-06,M,5.5,0.022
1980-06-10,,OH-06,S,1,0.02
1980-06-18,,OH-06,B,9.8,0.016
1980-06-18,,OH-06,M,4.9,0.018
1980-06-18,,OH-06,S,1,0.016
1980-06-23,,OH-06,B,10.4,0.01
1980-06-23,,OH-06,M,5.5,0.015
1980-06-23,,OH-06,S,1,0.027
1980-06-30,,OH-06,B,10.4,0.011
1980-06-30,,OH-06,M,5.5,0.014
1980-06-30,,OH-06,S,1,0.016
1980-07-14,,OH-06,B,10.4,0.014
1980-07-14,,OH-06,M,5.5,0.016
1980-07-14,,OH-06,S,1,0.01
1980-07-21,,OH-06,B,10.4,0.012
1980-07-21,,OH-06,M,5.5,0.01
1980-07-21,,OH-06,S,1,0.012
1980-07-28,,OH-06,B,9.8,0.011
1980-07-28,,OH-06,M,5.2,0.006
1980-07-28,,OH-06,S,1,0.005
1980-08-06,,OH-06,B,10.4,0.014
1980-08-06,,OH-06,M,5.5,0.014
1980-08-06,,OH-06,S,1,0.034
1980-08-25,,OH-06,B,10.4,0.013
1980-08-25,,OH-06,M,5.5,0.019
1980-08-25,,OH-06,S,1,0.023
1980-09-08,,OH-06,B,11,0.013
1980-09-08,,OH-06,M,5.8,0.015
1980-09-08,,OH-06,S,1,0.019
1980-10-06,,OH-06,B,7.3,0.011
1980-10-06,,OH-06,M,5.5,0.015
1980-10-06,,OH-06,S,1,0.01
1980-11-03,,OH-06,B,10.4,0.011
1980-11-03,,OH-06,M,5.5,0.014
1980-11-03,,OH-06,S,1,0.011
1980-11-17,,OH-06,B,10.4,0.018
1980-11-17,,OH-06,M,5.5,0.011
1980-11-17,,OH-06,S,1,0.007
1980-12-01,,OH-06,B,10.4,0.007
1980-12-01,,OH-06,M,5.5,0.008
1980-12-01,,OH-06,S,1,0.008
1981-03-31,,OH-06,B,10.4,0.012
1981-03-31,,OH-06,M,5.5,0.01
1981-03-31,,OH-06,S,0.9,0.01
1981-04-15,,OH-06,B,10.1,0.012
1981-04-15,,OH-06,M,5.5,0.013
1981-04-15,,OH-06,S,0.9,0.011
1981-04-27,,OH-06,B,10.4,0.014
1981-04-27,,OH-06,M,5.5,0.018
1981-04-27,,OH-06,S,0.9,0.012
1981-05-04,,OH-06,B,11,0.005
1981-05-04,,OH-06,M,5.5,0.01
1981-05-04,,OH-06,S,0.9,0.01
1981-05-12,,OH-06,B,10.4,0.016
1981-05-12,,OH-06,M,5.5,0.012
1981-05-12,,OH-06,S,0.9,0.013
1981-05-26,,OH-06,B,10.4,0.011
1981-05-26,,OH-06,M,5.5,0.01
1981-05-26,,OH-06,S,0.9,0.011
1981-06-01,,OH-06,B,10.4,0.009
1981-06-01,,OH-06,M,5.5,0.007
1981-06-01,,OH-06,S,0.9,0.007
1981-06-15,,OH-06,B,10.4,0.01
1981-06-15,,OH-06,M,5.5,0.009
1981-06-15,,OH-06,S,0.9,0.008
1981-06-22,,OH-06,B,10.4,0.006
1981-06-22,,OH-06,M,5.5,0.004
1981-06-22,,OH-06,S,0.9,0.006
