
Collection Date,Collection Time,Site,Sample Depth,Depth,Total Phosphorus
1979-05-11,,SS-08,B,4.9,0.03
1979-05-11,,SS-08,M,3,0.04
1979-05-11,,SS-08,S,1,0.04
1979-05-15,,SS-08,B,7,0.04
1979-05-15,,SS-08,M,4,0.02
1979-05-15,,SS-08,S,1,0.03
1979-05-22,,SS-08,B,4.9,0.15
1979-05-22,,SS-08,M,3,0.15
1979-05-22,,SS-08,S,1,0.14
1979-05-29,,SS-08,B,5.8,0.01
1979-05-29,,SS-08,M,2.7,0.01
1979-05-29,,SS-08,S,1,0.01
1979-06-05,,SS-08,B,7,0.03
1979-06-05,,SS-08,M,4,0.03
1979-06-05,,SS-08,S,1,0.03
1979-06-13,,SS-08,B,4.6,0.01
1979-06-13,,SS-08,M,2.7,0.01
1979-06-13,,SS-08,S,1,0.01
1979-06-22,,SS-08,B,5.8,0.02
1979-06-22,,SS-08,M,3,0.01
1979-06-22,,SS-08,S,1,0.04
1979-06-27,,SS-08,B,1,0.01
1979-06-27,,SS-08,M,1,0.01
1979-06-27,,SS-08,S,1,0.01
1979-07-02,,SS-08,B,1,0.02
1979-07-02,,SS-08,M,1,0.02
1979-07-02,,SS-08,S,1,0.01
1979-07-10,,SS-08,S,1,0.01
1979-07-18,,SS-08,B,5.5,0.01
1979-07-18,,SS-08,M,2.7,0.01
1979-07-18,,SS-08,S,1,0.01
1979-07-24,,SS-08,B,5.5,0.02
1979-07-24,,SS-08,M,3,0.01
1979-07-24,,SS-08,S,1,0.01
1979-08-02,,SS-08,B,5.5,0.01
1979-08-02,,SS-08,M,3,0.01
1979-08-02,,SS-08,S,1,0.01
1979-08-14,,SS-08,B,6.1,0.04
1979-08-14,,SS-08,M,3.4,0.03
1979-08-14,,SS-08,S,1,0.02
1979-08-21,,SS-08,B,6.1,0.01
1979-08-21,,SS-08,M,3.4,0.01
1979-08-21,,SS-08,S,1,0.01
1979-08-28,,SS-08,B,6.1,0.07
1979-08-28,,SS-08,M,3.4,0.01
1979-08-28,,SS-08,S,1,0.01
1979-09-12,,SS-08,B,6.1,0.04
1979-09-12,,SS-08,M,3.4,0.02
1979-09-12,,SS-08,S,1,0.01
1979-09-18,,SS-08,B,6.1,0.04
1979-09-18,,SS-08,M,3.4,0.05
1979-09-18,,SS-08,S,1,0.04
1979-10-05,,SS-08,B,6.1,0.03
1979-10-05,,SS-08,M,3.4,0.03
1979-10-05,,SS-08,S,1,0.01
1979-10-09,,SS-08,B,6.7,0.03
1979-10-09,,SS-08,M,3.7,0.03
1979-10-09,,SS-08,S,1,0.03
1979-11-20,,SS-08,B,6.1,0.03
1979-11-20,,SS-08,M,3.4,0.03
1979-11-20,,SS-08,S,1,0.02
1979-11-27,,SS-08,B,5.5,0.04
1979-11-27,,SS-08,M,3,0.04
1979-11-27,,SS-08,S,1,0.03
1979-12-04,,SS-08,B,5.5,0.01
1979-12-04,,SS-08,M,3,0.01
1979-12-04,,SS-08,S,1,0.01
1979-12-13,,SS-08,B,6.1,0.02
1979-12-13,,SS-08,M,3.4,0.03
1979-12-13,,SS-08,S,1,0.04
1979-12-18,,SS-08,B,5.5,0.04
1979-12-18,,SS-08,M,3,0.03
1979-12-18,,SS-08,S,1,0.03
1980-04-22,,SS-08,B,6.1,0.03
1980-04-22,,SS-08,M,3.4,0.02
1980-04-22,,SS-08,S,1,0.02
1980-05-06,,SS-08,B,6.7,0.01
1980-05-06,,SS-08,M,3.7,0.03
1980-05-06,,SS-08,S,1,0.02
1980-05-14,,SS-08,B,5.5,0.143
1980-05-14,,SS-08,M,3,0.025
1980-05-14,,SS-08,S,1,0.023
1980-05-21,,SS-08,B,7.9,0.031
1980-05-21,,SS-08,M,3.4,0.029
1980-05-21,,SS-08,S,1,0.019
1980-06-03,,SS-08,B,5.5,0.078
1980-06-03,,SS-08,M,3,0.021
1980-06-03,,SS-08,S,1,0.02
1980-06-11,,SS-08,B,5.5,0.024
1980-06-11,,SS-08,M,3,0.044
1980-06-11,,SS-08,S,1,0.037
1980-06-17,,SS-08,B,5.5,0.02
1980-06-17,,SS-08,M,3,0.02
1980-06-17,,SS-08,S,1,0.019
1980-06-24,,SS-08,B,5.5,0.022
1980-06-24,,SS-08,M,3,0.02
1980-06-24,,SS-08,S,1,0.015
1980-07-01,,SS-08,B,5.5,0.013
1980-07-01,,SS-08,M,3,0.016
1980-07-01,,SS-08,S,1,0.016
1980-07-15,,SS-08,B,5.5,0.014
1980-07-15,,SS-08,M,3,0.014
1980-07-15,,SS-08,S,1,0.012
1980-07-22,,SS-08,B,5.5,0.046
1980-07-22,,SS-08,M,3,0.042
1980-07-22,,SS-08,S,1,0.041
1980-07-29,,SS-08,B,5.5,0.021
1980-07-29,,SS-08,M,3,0.016
1980-07-29,,SS-08,S,1,0.017
1980-08-26,,SS-08,B,5.5,0.034
1980-08-26,,SS-08,M,3,0.03
1980-08-26,,SS-08,S,1,0.02
1980-09-09,,SS-08,B,5.5,0.024
1980-09-09,,SS-08,M,3,0.018
1980-09-09,,SS-08,S,1,0.019
1980-09-23,,SS-08,B,5.5,0.065
1980-09-23,,SS-08,M,3,0.053
1980-09-23,,SS-08,S,1,0.033
1980-10-07,,SS-08,B,5.5,0.028
1980-10-07,,SS-08,M,3,0.025
1980-10-07,,SS-08,S,1,0.019
1980-11-04,,SS-08,B,4.9,0.018
1980-11-04,,SS-08,M,2.7,0.118
1980-11-04,,SS-08,S,1,0.12
1980-11-19,,SS-08,B,4.3,0.018
1980-11-19,,SS-08,M,2.4,0.019
1980-11-19,,SS-08,S,1,0.02
1981-04-15,,SS-08,B,4.3,0.033
1981-04-15,,SS-08,M,2.4,0.023
1981-04-15,,SS-08,S,1,0.029
1981-05-13,,SS-08,B,4.9,0.025
1981-05-13,,SS-08,M,2.7,0.025
1981-05-13,,SS-08,S,1,0.025
1981-06-02,,SS-08,B,5.5,0.009
1981-06-02,,SS-08,M,2.7,0.008
1981-06-02,,SS-08,S,1,0.012
1981-06-16,,SS-08,B,5.3,0.011
1981-06-16,,SS-08,M,3,0.01
1981-06-16,,SS-08,S,1,0.014
1981-07-16,,SS-08,B,4.3,0.023
1981-07-16,,SS-08,M,2.1,0.026
1981-07-16,,SS-08,S,1,0.019
1981-08-04,,SS-08,B,5.3,0.006
1981-08-04,,SS-08,M,2.7,0.005
1981-08-04,,SS-08,S,1,0.005
1981-08-26,,SS-08,B,4.9,0.022
1981-08-26,,SS-08,M,2.7,0.017
1981-08-26,,SS-08,S,1,0.012
1981-09-18,,SS-08,B,4.9,0.045
1981-09-18,,SS-08,M,2.7,0.019
1981-09-18,,SS-08,S,1,0.02
1981-10-08,,SS-08,B,4.9,0.063
1981-10-08,,SS-08,M,2.7,0.037
1981-10-08,,SS-08,S,1,0.037
1981-10-20,,SS-08,B,4.9,0.047
1981-10-20,,SS-08,M,2.7,0.047
1981-10-20,,SS-08,S,1,0.036
1981-11-17,,SS-08,B,4.9,0.011
1981-11-17,,SS-08,M,2.7,0.012
1981-11-17,,SS-08,S,1,0.014
1982-06-22,,SS-08,B,5,0.015
1982-06-22,,SS-08,M,2.5,0.019
1982-06-22,,SS-08,S,1,0.018
1982-07-14,,SS-08,B,4.5,0.014
1982-07-14,,SS-08,M,2.5,0.007
